Asset_1,Asset_2,Correlation,Sector_1,Sector_2,Same_Sector
GOOG,GOOGL,0.9957203983422988,,,False
QQQ,XLK,0.9744275509462962,,,False
DIA,SPY,0.9454197462472731,,Market,False
QQQ,SPY,0.9377837741266988,,Market,False
SPY,XLK,0.9311594666657081,Market,,False
XLE,XOM,0.9265315857957768,,Energy,False
DIA,XLI,0.9242173797839589,,,False
CVX,XLE,0.9180295779231783,Energy,,False
COP,XLE,0.9176251303788194,,,False
JPM,XLF,0.911713043880995,Financials,,False
AMAT,LRCX,0.9109386131443651,,,False
BAC,XLF,0.9061722324481423,Financials,,False
MA,V,0.9029338793208327,,,False
DIA,XLF,0.9002673376297651,,,False
SPY,XLY,0.8983979253746085,Market,,False
QQQ,XLY,0.8870592333541751,,,False
KLAC,LRCX,0.886370399452475,,,False
AMAT,KLAC,0.8836327884245283,,,False
SPY,XLI,0.8820926702313987,Market,,False
BAC,JPM,0.8815522192225013,Financials,Financials,True
C,XLF,0.8724657795199305,,,False
XLF,XLI,0.8708145476907504,,,False
MS,XLF,0.86935883954044,,,False
GS,MS,0.867624242458252,,,False
IWM,SPY,0.8671429035177812,,Market,False
BAC,C,0.8632029275205915,Financials,,False
IWM,XLI,0.8622092965988141,,,False
DIA,IWM,0.8531715343119447,,,False
MSFT,XLK,0.8526967765266475,Technology,,False
GS,XLF,0.8503692959659825,,,False
BRK-B,XLF,0.8491366911251923,,,False
WFC,XLF,0.8469213024668588,,,False
BAC,WFC,0.8458311245837664,Financials,,False
MSFT,QQQ,0.845761380428496,Technology,,False
CVX,XOM,0.8434488179020715,Energy,Energy,True
C,JPM,0.843399964727604,,Financials,False
PLD,VNQ,0.8424681858444452,,,False
SPY,XLF,0.8418607212182364,Market,,False
AXP,XLF,0.8398996010006152,,,False
HD,LOW,0.836605787399329,,,False
COP,CVX,0.8358469588163879,,Energy,False
COF,XLF,0.8345396393946787,,,False
XLK,XLY,0.8339680090944086,,,False
ADI,TXN,0.8306551574943088,,,False
COP,XOM,0.8265349053400854,,Energy,False
IWM,XLY,0.8264449892243357,,,False
PG,XLP,0.8260905850239068,,,False
DIA,XLY,0.8251571293443933,,,False
BAC,MS,0.823983449142475,Financials,,False
PEP,XLP,0.8237819672004878,,,False
HON,XLI,0.8215223959327337,,,False
IWM,XLF,0.8201194970549155,,,False
DIA,XLK,0.815594009348283,,,False
NEE,XLU,0.8152506198016803,,,False
DIA,XLV,0.8150157425367894,,,False
GS,JPM,0.8130100296516416,,Financials,False
C,GS,0.8127774347578428,,,False
AAPL,XLK,0.8120318765557377,Technology,,False
DIA,QQQ,0.8110146935330125,,,False
JPM,MS,0.8101471475936735,Financials,,False
AXP,COF,0.8096425826798747,,,False
C,MS,0.8093361958828061,,,False
AAPL,QQQ,0.8075213575476778,Technology,,False
BAC,GS,0.8074153438531625,Financials,,False
ETN,XLI,0.8062663383124778,,,False
JPM,WFC,0.8049771849892878,Financials,,False
BRK-B,DIA,0.8008046125932727,,,False
